"SOPID","Title","FileName","Description","ContentPreview"
"9.2.120","9.2.120 – Establish Tracking & Control Systems","9.2.120 – Establish Tracking & Control Systems.docx","To implement standardized systems for monitoring labor, materials, procurement, safety, and project performance, enabling accurate reporting and proactive management.","SOP 9.2.120 – Establish Tracking & Control Systems Department: Project Management / Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.075 – Develop Project Schedule; 9.41.085 – Construction Execution Kickoff Meeting Reference: GSL Pre-Construction Planning – Tracking & Control  ================================================================================ DOCUMENT REFERENCES =========================================================================="
"9.2.130","9.2.130 – Construction Execution Kickoff Meeting","9.2.130 – Construction Execution Kickoff Meeting.docx","To formally launch field construction by aligning the project team, reviewing key work plans, confirming roles, and addressing critical first-week activities before installation begins.","SOP 9.085.41 – Construction Execution Kickoff Meeting Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.080.41 – Establish Tracking & Control Systems 9.090.41 – Setup Office Trailer  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 2"
"9.2.140","9.2.140 – Develop Project Budget","9.2.140 – Develop Project Budget.docx","To establish a comprehensive project budget that reflects the contract value, cost codes, and anticipated expenses, serving as the baseline for cost control.","SOP 9.41.395 – Develop Project Budget Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.005 – Team Selection; 9.41.360 – Manage Change Orders; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Cost Management  ================================================================================ DOCUMENT REFERENCES =============================================================================="
"9.2.160","9.2.160 – Develop Procurement Plan","9.2.160 – Develop Procurement Plan.docx","To prepare a procurement plan that identifies all major materials, equipment, and subcontracted services required for the project, including lead times and responsibilities.","SOP 9.41.600 – Develop Procurement Plan Department: Project Management / Procurement Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.005 – Team Selection; 9.41.395 – Develop Project Budget; 9.41.560 – Manage Manpower Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ======================================"
"9.3.010","9.3.010 – Setup Office Trailer","9.3.010 – Setup Office Trailer.docx","============================================================To establish a standardized process for setting up the project office trailer, ensuring proper placement, utilities, and functionality for project administration and team coordination.","SOP: 9.3.010 - Setup Office Trailer Department: Project Management / Field Operations Related SOPs: - 9.2.070 - Conduct Site Visit - 9.3.020 - Setup Storage Trailer - 9.3.040 - Setup Temporary Power ============================================================ ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 4: Sta"
"9.3.020","9.3.020 – Setup Storage Trailer","9.3.020 – Setup Storage Trailer.docx","============================================================To establish a standardized process for setting up project storage trailers/containers, ensuring secure and organized storage for materials, tools, and equipment.","SOP: 9.3.020 - Setup Storage Trailer Department: Field Operations Related SOPs: - 9.3.010 - Setup Office Trailer - 9.3.100 - Setup Laydown Area - 9.4.640 - Manage Storage and Logistics ============================================================ ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 4: Staging & Job Fam"
"9.3.030","9.3.030 – Setup Site Fencing and Access Control","9.3.030 – Setup Site Fencing and Access Control.docx","============================================================To establish a standardized process for installing site fencing and access control measures, ensuring site security and controlled entry/exit for personnel and deliveries.","SOP: 9.3.030 - Setup Site Fencing and Access Control Department: Field Operations / Safety Related SOPs: - 9.3.090 - Setup Security - 9.3.080 - Setup Signage - 9.3.470 - Develop Site-Specific Safety Plan ============================================================ ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 4"
"9.3.040","9.3.040 – Setup Temporary Power","9.3.040 – Setup Temporary Power.docx","============================================================To establish a standardized process for installing temporary electrical power distribution, ensuring safe and adequate power for construction operations, trailers, and equipment.","SOP: 9.3.040 - Setup Temporary Power Department: Field Operations Related SOPs: - 9.3.010 - Setup Office Trailer - 9.3.070 - Setup Temporary Lighting - 9.3.470 - Develop Site-Specific Safety Plan ============================================================ ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 4: Stagin"
"9.3.050","9.3.050 – Setup Temporary Water","9.3.050 – Setup Temporary Water.docx","To provide safe, reliable temporary water supply for construction use, including dust control, concrete work, cleaning, and sanitary needs.","SOP 9.41.110 – Setup Temporary Water Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.090 – Setup Office Trailer; 9.41.095 – Setup Storage Trailer Reference: GSL Project Manager Procedures – Mobilization  ================================================================================ DOCUMENT REFERENCES ============================================================================="
"9.3.060","9.3.060 – Setup Sanitary Facilities","9.3.060 – Setup Sanitary Facilities.docx","To provide adequate sanitary facilities (toilets, wash stations) for workers in compliance with OSHA requirements and project specifications.","SOP 9.41.115 – Setup Sanitary Facilities Department: Project Management / Safety Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.090 – Setup Office Trailer; 9.41.095 – Setup Storage Trailer; 9.41.110 – Setup Temporary Water Reference: GSL Project Manager Procedures – Mobilization  ================================================================================ DOCUMENT REFERENCES ================================================="
"9.3.070","9.3.070 – Setup Temporary Lighting","9.3.070 – Setup Temporary Lighting.docx","To provide adequate temporary lighting for safety, security, and productivity during construction.","SOP 9.41.120 – Setup Temporary Lighting Department: Project Management / Safety Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.105 – Setup Temporary Power; 9.41.110 – Setup Temporary Water; 9.41.115 – Setup Sanitary Facilities Reference: GSL Project Manager Procedures – Mobilization  ================================================================================ DOCUMENT REFERENCES ============================================="
"9.3.080","9.3.080 – Setup Signage","9.3.080 – Setup Signage.docx","To install signage that provides safety information, site identification, and directional guidance for workers, visitors, and the public.","SOP 9.41.125 – Setup Signage Department: Project Management / Safety Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.100 – Setup Site Fencing and Access Control; 9.41.115 – Setup Sanitary Facilities Reference: GSL Project Manager Procedures – Mobilization  ================================================================================ DOCUMENT REFERENCES =========================================================================="
"9.3.090","9.3.090 – Setup Security","9.3.090 – Setup Security.docx","To establish security measures that protect personnel, equipment, and materials from theft, vandalism, and unauthorized access.","SOP 9.41.130 – Setup Security Department: Project Management / Safety Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.100 – Setup Site Fencing and Access Control; 9.41.125 – Setup Signage Reference: GSL Project Manager Procedures – Mobilization  ================================================================================ DOCUMENT REFERENCES ================================================================================ Trai"
"9.3.100","9.3.100 – Setup Laydown Area","9.3.100 – Setup Laydown Area.docx","To establish a designated laydown area for material storage and staging to support efficient project operations and site safety.","SOP 9.41.135 – Setup Laydown Area Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.060 – Prepare Material Handling Plan; 9.41.095 – Setup Storage Trailer; 9.41.100 – Setup Site Fencing and Access Control Reference: GSL Project Manager Procedures – Mobilization  ================================================================================ DOCUMENT REFERENCES ===================="
"9.3.110","9.3.110 – Setup Equipment Staging","9.3.110 – Setup Equipment Staging.docx","To establish designated areas for equipment staging, ensuring safe and efficient deployment of construction equipment.","SOP 9.41.140 – Setup Equipment Staging Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.060 – Prepare Material Handling Plan; 9.41.135 – Setup Laydown Area Reference: GSL Project Manager Procedures – Mobilization  ================================================================================ DOCUMENT REFERENCES ===================================================================="
"9.3.120","9.3.120 – Setup Parking","9.3.120 – Setup Parking.docx","To designate and manage parking areas for workers, visitors, and deliveries, ensuring safety and minimizing disruption to site operations.","SOP 9.41.145 – Setup Parking Department: Project Management / Safety Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.060 – Prepare Material Handling Plan; 9.41.135 – Setup Laydown Area; 9.41.140 – Setup Equipment Staging Reference: GSL Project Manager Procedures – Mobilization  ================================================================================ DOCUMENT REFERENCES ===================================================="
"9.3.470","9.3.470 – Develop Site Specific Safety Plan","9.3.470 – Develop Site Specific Safety Plan.docx","To prepare and implement a site-specific safety plan (SSSP) that identifies hazards, compliance requirements, and procedures to protect workers and the public.","SOP 9.41.470 – Develop Site-Specific Safety Plan Department: Safety / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.090 – Setup Office Trailer; 9.41.115 – Setup Sanitary Facilities; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Safety Management  ================================================================================ DOCUMENT REFERENCES ==========================="
"9.4.010","9.4.010 – Conduct Coordination Meetings","9.4.010 – Conduct Coordination Meetings.docx","To establish a standard process for conducting project coordination meetings to ensure alignment between all project stakeholders, resolve issues, and review progress.","SOP 9.4.010 – Conduct Coordination Meetings Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.155 – Conduct Subcontractor Coordination Meetings; 9.41.160 – Conduct Owner/GC Coordination Meetings; 9.41.170 – Conduct Progress Meetings; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Coordination  ================================================================================ DOCU"
"9.4.010","9.4.010 – Procurement Large Feeder Wire Original","9.4.010 – Procurement Large Feeder Wire Original.docx","To define the standardized process for the planning, procurement, and delivery of large feeder wire to ensure that project cost, schedule, and quality targets are achieved in accordance with GSL Electric’s Management Directives."," GSL ELECTRIC Standard Operating Procedure (SOP) Title: Procurement of Large Feeder Wire for Projects Department: Operations / Purchasing Effective Date: [Insert Date] Approved By: [Insert Approving Authority] Reviewed By: [Insert Reviewer Name] Version: 1.1  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 6: S"
"9.4.020","9.4.020 – Conduct Subcontractor Coordination Meetings","9.4.020 – Conduct Subcontractor Coordination Meetings.docx","To lead regular subcontractor coordination meetings to ensure subcontractor activities align with project schedule, logistics, and safety requirements.","SOP 9.4.020 – Conduct Subcontractor Coordination Meetings Department: Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.075 – Develop Project Schedule; 9.41.135 – Setup Laydown Area; 9.41.140 – Setup Equipment Staging Reference: GSL Project Manager Procedures – Coordination  ================================================================================ DOCUMENT REFERENCES ====================================================================="
"9.4.030","9.4.030 – Conduct Client Owner Meetings","9.4.030 – Conduct Client Owner Meetings.docx","To conduct meetings with the client/owner to provide project updates, resolve issues, and ensure contractual and performance expectations are met.","SOP 9.4.030 – Conduct Client/Owner Meetings Department: Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.015 – Review Contract for Unfavorable Clauses; 9.41.075 – Develop Project Schedule; 9.41.085 – Construction Execution Kickoff Meeting Reference: GSL Project Manager Procedures – Coordination  ================================================================================ DOCUMENT REFERENCES ==============================================="
"9.4.040","9.4.040 – Compare Estimated vs. Planned Performance","9.4.040 – Compare Estimated vs. Planned Performance.docx","To confirm that bid assumptions for labor, materials, and productivity align with the planned project execution strategy, ensuring accurate budgets and realistic performance goals.","SOP 9.4.040 – Compare Estimated vs. Planned Performance Department: Project Management / Estimating Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.045 – Identify Value Engineering & Prefabrication Opportunities Reference: GSL Pre-Construction Planning – Bid vs. Execution Review  ================================================================================ DOCUMENT REFERENCES =================================================="
"9.4.040","9.4.040 – Conduct Safety Meetings","9.4.040 – Conduct Safety Meetings.docx","To conduct regular safety meetings to promote awareness, communicate hazards, and reinforce compliance with OSHA and GSL safety standards.","SOP 9.4.040 – Conduct Safety Meetings Department: Project Management / Safety Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.060 – Prepare Material Handling Plan; 9.41.115 – Setup Sanitary Facilities; 9.41.120 – Setup Temporary Lighting Reference: GSL Project Manager Procedures – Coordination  ================================================================================ DOCUMENT REFERENCES ==================================="
"9.4.045","9.4.045 – Identify Value Engineering & Prefabrication Opportunities","9.4.045 – Identify Value Engineering & Prefabrication Opportunities.docx","To identify and evaluate opportunities for value engineering (VE) and prefabrication to reduce cost, improve efficiency, and simplify work without compromising project scope or quality.","SOP 9.4.045 – Identify Value Engineering & Prefabrication Opportunities Department: Project Management / Prefabrication Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.040 – Compare Estimated vs. Planned Performance; 9.41.050 – Prepare Construction Takeoff Reference: GSL Pre-Construction Planning – Value Engineering & Prefabrication  ================================================================================ DOCUMENT REFERENCES =========================="
"9.4.050","9.4.050 – Conduct Prefabrication Coordination Meetings","9.4.050 – Conduct Prefabrication Coordination Meetings.docx","To coordinate with the prefabrication team to align prefab deliverables with the construction schedule, manpower plan, and site logistics.","SOP 9.4.050 – Conduct Prefabrication Coordination Meetings Department: Project Management / Prefabrication Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.045 – Identify Value Engineering & Prefabrication Opportunities; 9.41.050 – Prepare Construction Takeoff; 9.41.065 – Develop Labor Budget Reference: GSL Project Manager Procedures – Coordination  ================================================================================ DOCUMENT REFERENCES ==========="
"9.4.050","9.4.050 – Prepare Construction Takeoff","9.4.050 – Prepare Construction Takeoff.docx","To prepare a detailed construction takeoff that validates estimated quantities and provides the basis for procurement, labor budgeting, and execution planning.","SOP 9.4.050 – Prepare Construction Takeoff Department: Project Management / Estimating Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.045 – Identify Value Engineering & Prefabrication Opportunities; 9.41.055 – Procurement of Large Feeder Wire Reference: GSL Pre-Construction Planning – Construction Takeoff  ================================================================================ DOCUMENT REFERENCES ====================================================="
"9.4.055","9.4.055 – 1 Procurement of Large Feeder Wire","9.4.055 – 1 Procurement of Large Feeder Wire.docx","To define the standardized process for the planning, procurement, and delivery of large feeder wire to ensure that project cost, schedule, and quality targets are achieved in accordance with GSL Electric’s Management Directives."," GSL ELECTRIC Standard Operating Procedure (SOP) Title: Procurement of Large Feeder Wire for Projects Department: Operations / Purchasing Effective Date: [Insert Date] Approved By: [Insert Approving Authority] Reviewed By: [Insert Reviewer Name] Version: 1.1  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 6: S"
"9.4.060","9.4.060 – Conduct Quality Meetings","9.4.060 – Conduct Quality Meetings.docx","To conduct regular quality meetings to ensure project work meets specifications, client requirements, and GSL standards.","SOP 9.4.060 – Conduct Quality Meetings Department: Project Management / Quality Control Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.020 – Project Manager Reviews Plans, Specifications & Schedule; 9.41.040 – Compare Estimated vs. Planned Performance; 9.41.080 – Establish Tracking & Control Systems Reference: GSL Project Manager Procedures – Coordination  ================================================================================ DOCUMENT REFERENCES =="
"9.4.190","9.4.190 – A Document Filing Standards","9.4.190 – A Document Filing Standards.docx","To define standard filing responsibilities and locations for all project documentation to ensure consistency, accountability, and accessibility.","SOP 9.4.190A – Document Filing Standards Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: All documentation-related SOPs (9.41.195 – 9.41.265 and beyond) Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Mate"
"9.4.195","9.4.195 – Manage Project Documentation System","9.4.195 – Manage Project Documentation System.docx","To establish and maintain a structured documentation system that ensures all project records are organized, accessible, and compliant with contractual and legal requirements.","SOP 9.4.195 – Manage Project Documentation System Department: Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.005 – Team Selection; 9.41.010 – Project Turnover Meeting; 9.41.080 – Establish Tracking & Control Systems; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DOCUMENT REFERENCES "
"9.4.200","9.4.200 – Manage Submittals","9.4.200 – Manage Submittals.docx","To establish a standard process for preparing, submitting, tracking, and closing out all project submittals to ensure compliance with specifications and schedule.","SOP 9.4.200 – Manage Submittals Department: Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.050 – Prepare Construction Takeoff; 9.41.055 – Procurement of Large Feeder Wire; 9.41.075 – Develop Project Schedule; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DOCUMENT REFERENCES ========"
"9.4.205","9.4.205 – Manage RF Is (Requests for Information)","9.4.205 – Manage RF Is (Requests for Information).docx","To standardize the RFI process to ensure issues are documented, submitted, tracked, and resolved in a timely manner.","SOP 9.4.205 – Manage RFIs (Requests for Information) Department: Project Management / Pre-Construction Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.030 – Create List of Issues & Begin RFI Process; 9.41.080 – Establish Tracking & Control Systems; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DOCUMENT REFERENCES ====="
"9.4.210","9.4.210 – Manage Meeting Minutes","9.4.210 – Manage Meeting Minutes.docx","To standardize the recording, distribution, and archiving of meeting minutes to ensure accountability and continuity.","SOP 9.4.210 – Manage Meeting Minutes Department: Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.150 – Conduct Project Coordination Meetings; 9.41.155 – Conduct Subcontractor Coordination Meetings; 9.41.160 – Conduct Client/Owner Meetings; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ==============================================================================="
