"SOPID","Title","FileName","Description"
"9.2.060","Create Issue List and Begin RFI Process","9.2.060 – Create Issue List and Begin RFI Process.docx","============================================================ To establish a standardized process for documenting project issues identified during pre-construction review and initiating the Request for Information (RFI) process to resolve them befo..."
"9.2.070","Conduct Site Visit","9.2.070 – Conduct Site Visit.docx","============================================================ To establish a standardized process for conducting pre-construction site visits to assess existing conditions, identify logistical requirements, and validate planning assumptions before ..."
"9.2.080","Prepare Material Handling Plan","9.2.080 – Prepare Material Handling Plan.docx","To define the process for creating a job-specific Material Handling Plan that ensures efficient, safe, and cost-effective delivery, storage, movement, and installation of materials on-site.  Scope Applies to all projects requiring material moveme..."
"9.2.090","Develop Labor Budget","9.2.090 – Develop Labor Budget.docx","To establish a standardized process for creating a project-specific labor budget that reflects estimated manhours by phase and supports resource planning, cost tracking, and productivity measurement.  Scope Applies to all awarded projects and mus..."
"9.2.100","Prepare Layout & Sequencing Plan","9.2.100 – Prepare Layout & Sequencing Plan.docx","To establish a coordinated layout and sequencing plan that supports efficient installation, minimizes trade conflicts, and ensures project milestones are achieved.  Scope This SOP applies to Project Managers, Field Supervisors, and General Superi..."
"9.2.110","Develop Project Schedule","9.2.110 – Develop Project Schedule.docx","To outline the process for developing a complete project schedule that aligns field activities, procurement, prefab, and inspections to meet project milestones and client expectations.  Scope Applies to all awarded projects prior to mobilization."
"9.2.120","Establish Tracking & Control Systems","9.2.120 – Establish Tracking & Control Systems.docx","To implement standardized systems for monitoring labor, materials, procurement, safety, and project performance, enabling accurate reporting and proactive management.  Scope This SOP applies to Project Managers, Field Supervisors, Purchasing, and..."
"9.2.130","Construction Execution Kickoff Meeting","9.2.130 – Construction Execution Kickoff Meeting.docx","To formally launch field construction by aligning the project team, reviewing key work plans, confirming roles, and addressing critical first-week activities before installation begins.  Scope Applies to all projects immediately prior to the star..."
"9.2.140","Develop Project Budget","9.2.140 – Develop Project Budget.docx","To establish a comprehensive project budget that reflects the contract value, cost codes, and anticipated expenses, serving as the baseline for cost control.  Scope This SOP applies to Project Managers, Estimators, and Accounting."
"9.2.160","Develop Procurement Plan","9.2.160 – Develop Procurement Plan.docx","To prepare a procurement plan that identifies all major materials, equipment, and subcontracted services required for the project, including lead times and responsibilities.  Scope This SOP applies to Project Managers, Estimators, and Purchasing."
"9.3.010","Setup Office Trailer","9.3.010 – Setup Office Trailer.docx","============================================================ To establish a standardized process for setting up the project office trailer, ensuring proper placement, utilities, and functionality for project administration and team coordination. =..."
"9.3.020","Setup Storage Trailer","9.3.020 – Setup Storage Trailer.docx","============================================================ To establish a standardized process for setting up project storage trailers/containers, ensuring secure and organized storage for materials, tools, and equipment. =======================..."
"9.3.030","Setup Site Fencing and Access Control","9.3.030 – Setup Site Fencing and Access Control.docx","============================================================ To establish a standardized process for installing site fencing and access control measures, ensuring site security and controlled entry/exit for personnel and deliveries. ==============..."
"9.3.040","Setup Temporary Power","9.3.040 – Setup Temporary Power.docx","============================================================ To establish a standardized process for installing temporary electrical power distribution, ensuring safe and adequate power for construction operations, trailers, and equipment. =======..."
"9.3.050","Setup Temporary Water","9.3.050 – Setup Temporary Water.docx","To provide safe, reliable temporary water supply for construction use, including dust control, concrete work, cleaning, and sanitary needs.  Scope This SOP applies to Project Managers and Field Supervisors during mobilization and throughout proje..."
"9.3.060","Setup Sanitary Facilities","9.3.060 – Setup Sanitary Facilities.docx","To provide adequate sanitary facilities (toilets, wash stations) for workers in compliance with OSHA requirements and project specifications.  Scope This SOP applies to Project Managers and Safety Coordinators during site mobilization and through..."
"9.3.070","Setup Temporary Lighting","9.3.070 – Setup Temporary Lighting.docx","To provide adequate temporary lighting for safety, security, and productivity during construction.  Scope This SOP applies to Project Managers, Field Supervisors, and Safety Coordinators during mobilization and project execution."
"9.3.080","Setup Signage","9.3.080 – Setup Signage.docx","To install signage that provides safety information, site identification, and directional guidance for workers, visitors, and the public.  Scope This SOP applies to Project Managers, Field Supervisors, and Safety Coordinators during mobilization."
"9.3.090","Setup Security","9.3.090 – Setup Security.docx","To establish security measures that protect personnel, equipment, and materials from theft, vandalism, and unauthorized access.  Scope This SOP applies to Project Managers, Field Supervisors, and Safety Coordinators during mobilization and throug..."
"9.3.100","Setup Laydown Area","9.3.100 – Setup Laydown Area.docx","To establish a designated laydown area for material storage and staging to support efficient project operations and site safety.  Scope This SOP applies to Project Managers and Field Supervisors during mobilization."
"9.3.110","Setup Equipment Staging","9.3.110 – Setup Equipment Staging.docx","To establish designated areas for equipment staging, ensuring safe and efficient deployment of construction equipment.  Scope This SOP applies to Project Managers, Field Supervisors, and Equipment Operators during mobilization."
"9.3.120","Setup Parking","9.3.120 – Setup Parking.docx","To designate and manage parking areas for workers, visitors, and deliveries, ensuring safety and minimizing disruption to site operations.  Scope This SOP applies to Project Managers, Field Supervisors, and Safety Coordinators during mobilization."
"9.3.470","Develop Site Specific Safety Plan","9.3.470 – Develop Site Specific Safety Plan.docx","To prepare and implement a site-specific safety plan (SSSP) that identifies hazards, compliance requirements, and procedures to protect workers and the public.  Scope This SOP applies to Project Managers, Safety Coordinators, and Field Supervisors."
"9.4.010","Conduct Coordination Meetings","9.4.010 – Conduct Coordination Meetings.docx","To establish a standard process for conducting project coordination meetings to ensure alignment between all project stakeholders, resolve issues, and review progress.  Scope This SOP applies to Project Managers, Field Supervisors, Subcontractors..."
"9.4.020","Conduct Subcontractor Coordination Meetings","9.4.020 – Conduct Subcontractor Coordination Meetings.docx","To lead regular subcontractor coordination meetings to ensure subcontractor activities align with project schedule, logistics, and safety requirements.  Scope This SOP applies to Project Managers, Field Supervisors, and all subcontractors assigne..."
"9.4.030","Conduct Client Owner Meetings","9.4.030 – Conduct Client Owner Meetings.docx","To conduct meetings with the client/owner to provide project updates, resolve issues, and ensure contractual and performance expectations are met.  Scope This SOP applies to Project Managers, Branch Managers, and project teams when interfacing wi..."
"9.4.040","Conduct Safety Meetings","9.4.040 – Conduct Safety Meetings.docx","To conduct regular safety meetings to promote awareness, communicate hazards, and reinforce compliance with OSHA and GSL safety standards.  Scope This SOP applies to Project Managers, Safety Coordinators, Field Supervisors, and all on-site person..."
"9.4.045","Identify Value Engineering & Prefabrication Opportunities","9.4.045 – Identify Value Engineering & Prefabrication Opportunities.docx","To identify and evaluate opportunities for value engineering (VE) and prefabrication to reduce cost, improve efficiency, and simplify work without compromising project scope or quality.  Scope This SOP applies to Project Managers, Field Superviso..."
"9.4.050","Conduct Prefabrication Coordination Meetings","9.4.050 – Conduct Prefabrication Coordination Meetings.docx","To coordinate with the prefabrication team to align prefab deliverables with the construction schedule, manpower plan, and site logistics.  Scope This SOP applies to Project Managers, Prefab Leads, and Field Supervisors during pre-construction an..."
"9.4.055","1 Procurement of Large Feeder Wire","9.4.055 – 1 Procurement of Large Feeder Wire.docx","To define the standardized process for the planning, procurement, and delivery of large feeder wire to ensure that project cost, schedule, and quality targets are achieved in accordance with GSL Electric’s Management Directives.  2."
"9.4.060","Conduct Quality Meetings","9.4.060 – Conduct Quality Meetings.docx","To conduct regular quality meetings to ensure project work meets specifications, client requirements, and GSL standards.  Scope This SOP applies to Project Managers, Field Supervisors, Safety Coordinators, and Quality Inspectors during pre-constr..."
"9.4.190","A Document Filing Standards","9.4.190 – A Document Filing Standards.docx","To define standard filing responsibilities and locations for all project documentation to ensure consistency, accountability, and accessibility.  Scope This SOP applies to all Project Managers, Field Foremen, Site Administrators, and Subcontracto..."
"9.4.195","Manage Project Documentation System","9.4.195 – Manage Project Documentation System.docx","To establish and maintain a structured documentation system that ensures all project records are organized, accessible, and compliant with contractual and legal requirements.  Scope This SOP applies to Project Managers, Site Administrators, and F..."
"9.4.200","Manage Submittals","9.4.200 – Manage Submittals.docx","To establish a standard process for preparing, submitting, tracking, and closing out all project submittals to ensure compliance with specifications and schedule.  Scope This SOP applies to Project Managers, Purchasing, and Subcontractors."
"9.4.205","Manage RF Is (Requests for Information)","9.4.205 – Manage RF Is (Requests for Information).docx","To standardize the RFI process to ensure issues are documented, submitted, tracked, and resolved in a timely manner.  Scope This SOP applies to Project Managers, Field Supervisors, and Subcontractors."
"9.4.210","Manage Meeting Minutes","9.4.210 – Manage Meeting Minutes.docx","To standardize the recording, distribution, and archiving of meeting minutes to ensure accountability and continuity.  Scope This SOP applies to Project Managers, Site Administrators, and meeting participants."
"9.4.215","Manage Daily Reports","9.4.215 – Manage Daily Reports.docx","To document daily site conditions, manpower, equipment, progress, and incidents.  Scope This SOP applies to Field Supervisors, Project Managers, and Safety Coordinators."
"9.4.220","Manage Drawing Logs","9.4.220 – Manage Drawing Logs.docx","To maintain an accurate and up-to-date drawing log, ensuring the field team works from the latest approved drawings.  Scope This SOP applies to Project Managers, Site Administrators, and Field Supervisors."
"9.4.225","Manage Specifications","9.4.225 – Manage Specifications.docx","To ensure specifications are properly logged, tracked, distributed, and accessible to all team members.  Scope This SOP applies to Project Managers, Site Administrators, and Field Supervisors."
"9.4.230","Manage Correspondence","9.4.230 – Manage Correspondence.docx","To log, track, and store all project-related correspondence for accountability and claims protection.  Scope This SOP applies to Project Managers, Site Administrators, and Field Foremen."
"9.4.235","Manage Permits","9.4.235 – Manage Permits.docx","To obtain, track, and maintain all project permits and inspection records required by law and contract.  Scope This SOP applies to Project Managers, Safety Coordinators, and Site Administrators."
"9.4.240","Manage Inspection Reports","9.4.240 – Manage Inspection Reports.docx","To ensure inspection reports (safety, quality, and compliance) are logged, distributed, and archived to support accountability and corrective actions.  Scope This SOP applies to Project Managers, Safety Coordinators, Quality Inspectors, and Site ..."
"9.4.270","Manage Project Communications","9.4.270 – Manage Project Communications.docx","To establish a consistent process for managing all project-related communications to ensure clarity, accountability, and traceability.  Scope This SOP applies to Project Managers, Field Foremen, and Site Administrators."
"9.4.275","Manage Internal Communications","9.4.275 – Manage Internal Communications.docx","To ensure timely and accurate communication within the GSL project team to support coordination and decision-making.  Scope This SOP applies to Project Managers, Field Foremen, Superintendents, and Site Administrators."
"9.4.280","Manage External Communications","9.4.280 – Manage External Communications.docx","To establish guidelines for all communications with clients, owners, architects, engineers, subcontractors, and vendors.  Scope This SOP applies to Project Managers, Site Administrators, and Field Foremen."
"9.4.285","Manage Client Owner Communications","9.4.285 – Manage Client Owner Communications.docx","To establish guidelines for consistent and professional communications with the client/owner, ensuring contractual obligations, updates, and issues are clearly documented.  Scope This SOP applies to Project Managers, Branch Managers, and Site Adm..."
"9.4.290","Manage Subcontractor Communications","9.4.290 – Manage Subcontractor Communications.docx","To establish a standard process for documenting and tracking communications with subcontractors to ensure clarity, accountability, and compliance.  Scope This SOP applies to Project Managers, Field Supervisors, and Site Administrators."
"9.4.295","Manage Vendor Supplier Communications","9.4.295 – Manage Vendor Supplier Communications.docx","To document and manage all communications with vendors and suppliers to ensure purchase orders, delivery schedules, and technical data are accurate and traceable.  Scope This SOP applies to Project Managers, Purchasing, and Site Administrators."
"9.4.300","Manage Architect Engineer Communications","9.4.300 – Manage Architect Engineer Communications.docx","To document and manage all communications with architects and engineers to ensure design clarifications, RFIs, and revisions are properly tracked.  Scope This SOP applies to Project Managers, Field Supervisors, and Site Administrators."
"9.4.305","Manage Regulatory Authority Communications","9.4.305 – Manage Regulatory Authority Communications.docx","To document and manage all communications with architects and engineers to ensure design clarifications, RFIs, and revisions are properly tracked.  Scope This SOP applies to Project Managers, Field Supervisors, and Site Administrators."
"9.4.310","Manage General Contractor Communications","9.4.310 – Manage General Contractor Communications.docx","To manage communications with the General Contractor (GC) to ensure coordination, contractual compliance, and documentation of all directives.  Scope This SOP applies to Project Managers, Field Supervisors, and Site Administrators."
"9.4.315","Develop Project Schedule","9.4.315 – Develop Project Schedule.docx","To establish a baseline project schedule that reflects contractual milestones, critical path activities, and resource requirements.  Scope This SOP applies to Project Managers, Superintendents, and Scheduling Coordinators."
"9.4.320","Update Project Schedule","9.4.320 – Update Project Schedule.docx","To update the project schedule regularly, reflecting actual progress, changes, and delays, ensuring alignment with field execution.  Scope This SOP applies to Project Managers, Superintendents, and Site Administrators."
"9.4.325","Monitor Schedule Performance","9.4.325 – Monitor Schedule Performance.docx","To monitor schedule performance by comparing baseline, updated schedules, and actual field progress to identify variances and risks.  Scope This SOP applies to Project Managers, Superintendents, and Branch Managers."
"9.4.330","Develop Schedule Recovery Plans","9.4.330 – Develop Schedule Recovery Plans.docx","To create corrective action plans when project schedules deviate from baseline or milestones are at risk.  Scope This SOP applies to Project Managers, Superintendents, and Branch Managers."
"9.4.335","Prepare Lookahead Schedules","9.4.335 – Prepare Lookahead Schedules.docx","To prepare short-term lookahead schedules that detail upcoming work and resource requirements to guide daily and weekly field activities.  Scope This SOP applies to Project Managers, Superintendents, and Field Foremen."
"9.4.340","Manage Resource Loaded Schedules","9.4.340 – Manage Resource Loaded Schedules.docx","To integrate labor, equipment, and material resources into the project schedule to provide realistic forecasts and improve resource management.  Scope This SOP applies to Project Managers, Superintendents, and Branch Managers."
"9.4.345","Conduct Schedule Review Meetings","9.4.345 – Conduct Schedule Review Meetings.docx","To review the project schedule with stakeholders at regular intervals, ensuring alignment between planned activities and field performance.  Scope This SOP applies to Project Managers, Superintendents, Field Foremen, and Branch Managers."
"9.4.350","Manage Schedule Change Requests","9.4.350 – Manage Schedule Change Requests.docx","To evaluate, document, and process schedule change requests to ensure all modifications are justified, approved, and properly incorporated into the project schedule.  Scope This SOP applies to Project Managers, Branch Managers, and Site Administr..."
"9.4.355","Manage Project Scope","9.4.355 – Manage Project Scope.docx","To define, communicate, and control the contractual scope of work, ensuring all team members and subcontractors understand project requirements.  Scope This SOP applies to Project Managers, Estimators, and Field Supervisors."
"9.4.360","Manage Change Orders","9.4.360 – Manage Change Orders.docx","To establish a consistent company-wide procedure for identifying, pricing, approving, documenting, and billing all contract changes (RFQs, Field Change Directives, and disputed changes) in alignment with GSL Electric’s Management Directives for Pr..."
"9.4.365","Manage Potential Change Orders (PCOs)","9.4.365 – Manage Potential Change Orders (PCOs).docx","To identify, log, and track potential change orders (PCOs) before they become formal change orders, allowing proactive risk management.  Scope This SOP applies to Project Managers, Estimators, and Site Administrators."
"9.4.370","Manage Owner Directives","9.4.370 – Manage Owner Directives.docx","To document and manage all owner directives that modify or clarify the scope of work, ensuring contractual and financial impacts are tracked.  Scope This SOP applies to Project Managers, Site Administrators, and Estimators."
"9.4.375","Manage Scope Clarifications","9.4.375 – Manage Scope Clarifications.docx","To capture, track, and communicate scope clarifications arising during design interpretation, RFIs, or owner/GC discussions.  Scope This SOP applies to Project Managers, Estimators, and Field Supervisors."
"9.4.380","Manage Backcharges","9.4.380 – Manage Backcharges.docx","To document, track, and process backcharges applied to subcontractors or vendors for work not performed, damaged, or corrected by GSL.  Scope This SOP applies to Project Managers, Accounting, and Site Administrators."
"9.4.385","Manage Force Account Work","9.4.385 – Manage Force Account Work.docx","To document, track, and bill for force account work performed outside the contract scope but directed by the owner or GC.  Scope This SOP applies to Project Managers, Field Supervisors, and Accounting."
"9.4.390","Manage Claims","9.4.390 – Manage Claims.docx","To document, prepare, and submit claims for additional time, cost, or damages arising from circumstances outside GSL’s control.  Scope This SOP applies to Project Managers, Branch Managers, Estimators, and Legal Counsel."
"9.4.400","Monitor Project Costs","9.4.400 – Monitor Project Costs.docx","To monitor actual costs against the project budget, ensuring variances are detected early and corrective actions are taken.  Scope This SOP applies to Project Managers, Accounting, and Branch Managers."
"9.4.405","Manage Cost Forecasts","9.4.405 – Manage Cost Forecasts.docx","To forecast final project costs based on current performance and anticipated trends, ensuring management has accurate projections.  Scope This SOP applies to Project Managers, Accounting, and Branch Managers."
"9.4.410","Manage Cost Codes","9.4.410 – Manage Cost Codes.docx","To standardize and maintain cost codes for consistent budgeting, tracking, and reporting across projects.  Scope This SOP applies to Project Managers, Estimators, and Accounting."
"9.4.415","Manage Committed Costs","9.4.415 – Manage Committed Costs.docx","To track and manage committed costs (purchase orders, subcontracts, and other financial commitments) against the project budget.  Scope This SOP applies to Project Managers, Purchasing, and Accounting."
"9.4.420","Manage Actual Costs","9.4.420 – Manage Actual Costs.docx","To record, verify, and report actual costs incurred on the project for accurate financial tracking and reporting.  Scope This SOP applies to Project Managers, Accounting, and Site Administrators."
"9.4.425","Manage Job Cost Reports","9.4.425 – Manage Job Cost Reports.docx","To prepare and distribute job cost reports that compare actual and committed costs to the budget, ensuring management visibility of project financial status.  Scope This SOP applies to Project Managers, Accounting, and Branch Managers."
"9.4.430","Manage Profit Projections","9.4.430 – Manage Profit Projections.docx","To project project-level and portfolio-level profitability by comparing revenue, costs, and forecasts.  Scope This SOP applies to Project Managers, Accounting, and Branch Managers."
"9.4.435","Manage Cost to Complete","9.4.435 – Manage Cost to Complete.docx","To calculate and monitor cost-to-complete (CTC) values, ensuring accurate forecasting of final project costs and profitability.  Scope This SOP applies to Project Managers, Accounting, and Branch Managers."
"9.4.440","Prepare Billing Schedule","9.4.440 – Prepare Billing Schedule.docx","To develop a billing schedule that aligns with the project contract, milestones, and cash flow requirements.  Scope This SOP applies to Project Managers and Accounting."
"9.4.445","Prepare Monthly Pay Applications","9.4.445 – Prepare Monthly Pay Applications.docx","To prepare monthly pay applications in accordance with the contract, ensuring accurate billing of work performed and materials stored.  Scope This SOP applies to Project Managers, Field Supervisors, and Accounting."
"9.4.450","Track Accounts Receivable","9.4.450 – Track Accounts Receivable.docx","To track accounts receivable (AR) from submitted invoices and pay applications, ensuring timely collection of payments.  Scope This SOP applies to Accounting, Project Managers, and Branch Managers."
"9.4.455","Manage Lien Waivers","9.4.455 – Manage Lien Waivers.docx","To collect, verify, and submit lien waivers in compliance with contract requirements and to protect against payment disputes.  Scope This SOP applies to Project Managers, Accounting, and Subcontractors."
"9.4.460","Manage Retainage","9.4.460 – Manage Retainage.docx","To track retainage withheld on pay applications and ensure proper release at substantial completion and final project closeout.  Scope This SOP applies to Project Managers, Accounting, and Branch Managers."
"9.4.465","Manage Final Invoicing","9.4.465 – Manage Final Invoicing.docx","To prepare and submit the final invoice for project payment, ensuring all conditions precedent to final payment are satisfied.  Scope This SOP applies to Project Managers, Accounting, and Branch Managers."
"9.4.475","Conduct Safety Orientation","9.4.475 – Conduct Safety Orientation.docx","To provide safety orientation for all employees, subcontractors, and visitors before they begin work on-site.  Scope This SOP applies to Safety Coordinators, Project Managers, and Field Supervisors."
"9.4.480","Conduct Safety Inspections","9.4.480 – Conduct Safety Inspections.docx","To conduct regular safety inspections of the jobsite, identify hazards, and verify compliance with OSHA and company standards.  Scope This SOP applies to Safety Coordinators, Field Supervisors, and Project Managers."
"9.4.485","Conduct Safety Meetings","9.4.485 – Conduct Safety Meetings.docx","To conduct regular safety meetings (toolbox talks and formal sessions) to communicate safety policies, hazards, and corrective actions.  Scope This SOP applies to Safety Coordinators, Project Managers, and Field Supervisors."
"9.4.490","Report Safety Incidents","9.4.490 – Report Safety Incidents.docx","To report all safety incidents, including near misses, injuries, and property damage, in a timely and consistent manner.  Scope This SOP applies to all employees, subcontractors, Project Managers, and Safety Coordinators."
"9.4.495","Investigate Accidents","9.4.495 – Investigate Accidents.docx","To investigate accidents and near misses to identify root causes, prevent recurrence, and comply with regulatory requirements.  Scope This SOP applies to Project Managers, Safety Coordinators, Field Supervisors, and Branch Managers."
"9.4.500","Conduct Emergency Preparedness","9.4.500 – Conduct Emergency Preparedness.docx","To establish and maintain emergency preparedness procedures to ensure a safe and effective response to jobsite emergencies.  Scope This SOP applies to Safety Coordinators, Project Managers, Field Supervisors, and all jobsite personnel."
"9.4.505","Conduct Safety Compliance Audits","9.4.505 – Conduct Safety Compliance Audits.docx","To conduct safety compliance audits that verify adherence to OSHA standards, contract requirements, and company policies.  Scope This SOP applies to Safety Coordinators, Project Managers, and Branch Managers."
"9.4.510","Provide Safety Training","9.4.510 – Provide Safety Training.docx","To provide ongoing safety training for employees and subcontractors, ensuring compliance with regulatory standards and company policies.  Scope This SOP applies to Safety Coordinators, Project Managers, and HR."
"9.4.515","Develop Quality Management Plan","9.4.515 – Develop Quality Management Plan.docx","To develop a project-specific Quality Management Plan (QMP) that defines standards, responsibilities, inspections, and acceptance criteria.  Scope This SOP applies to Project Managers, Quality Inspectors, and Field Supervisors."
"9.4.520","Conduct Quality Meetings","9.4.520 – Conduct Quality Meetings.docx","To conduct regular quality meetings to review standards, discuss issues, and ensure compliance with project requirements.  Scope This SOP applies to Project Managers, Quality Inspectors, Field Supervisors, and Subcontractors."
"9.4.525","Conduct Quality Inspections","9.4.525 – Conduct Quality Inspections.docx","To perform inspections that verify work complies with contract documents, specifications, and quality standards.  Scope This SOP applies to Quality Inspectors, Project Managers, and Field Supervisors."
"9.4.530","Manage Quality Testing","9.4.530 – Manage Quality Testing.docx","To perform and document quality testing in accordance with project specifications, codes, and standards.  Scope This SOP applies to Quality Inspectors, Testing Agencies, and Project Managers."
"9.4.535","Manage Nonconformance Reports (NC Rs)","9.4.535 – Manage Nonconformance Reports (NC Rs).docx","To identify, document, and resolve nonconforming work in a consistent and traceable manner.  Scope This SOP applies to Project Managers, Quality Inspectors, and Field Supervisors."
"9.4.540","Manage Quality Records","9.4.540 – Manage Quality Records.docx","To establish a system for maintaining and archiving quality records that demonstrate compliance with project and contractual requirements.  Scope This SOP applies to Project Managers, Site Administrators, and Quality Inspectors."
"9.4.545","Manage Punch List Quality","9.4.545 – Manage Punch List Quality.docx","To ensure punch list items are documented, corrected, and verified for quality compliance prior to project closeout.  Scope This SOP applies to Project Managers, Field Supervisors, Subcontractors, and Quality Inspectors."
"9.4.560","Manage Manpower Allocation","9.4.560 – Manage Manpower Allocation.docx","To allocate manpower efficiently across projects, ensuring sufficient labor resources are available to meet schedule and productivity requirements.  Scope This SOP applies to Project Managers, Superintendents, and Field Supervisors."
"9.4.565","Manage Equipment Allocation","9.4.565 – Manage Equipment Allocation.docx","To allocate, track, and maintain equipment resources across projects to ensure availability and cost efficiency.  Scope This SOP applies to Project Managers, Superintendents, and Equipment Managers."
"9.4.570","Manage Material Allocation","9.4.570 – Manage Material Allocation.docx","To manage allocation and delivery of materials to ensure availability at the right time and location while minimizing waste and storage costs.  Scope This SOP applies to Project Managers, Purchasing, and Field Supervisors."
"9.4.576","Manage Subcontractor Resources","9.4.576 – Manage Subcontractor Resources.docx","To manage subcontractor manpower, equipment, and material resources to ensure their availability aligns with project requirements and schedules.  Scope This SOP applies to Project Managers, Field Supervisors, and Subcontractors."
"9.4.580","Manage Vendor Resources","9.4.580 – Manage Vendor Resources.docx","To coordinate vendor-provided resources (materials, deliveries, technical support) to ensure timely project execution.  Scope This SOP applies to Project Managers, Purchasing, and Vendors."
"9.4.585","Plan Prefabrication Resources","9.4.585 – Plan Prefabrication Resources.docx","To plan prefabrication resources (labor, space, tools, and materials) to optimize efficiency, reduce jobsite congestion, and improve quality.  Scope This SOP applies to Project Managers, Prefabrication Managers, and Field Supervisors."
"9.4.590","Manage Specialty Contractor Resources","9.4.590 – Manage Specialty Contractor Resources.docx","To manage specialty contractor resources (e.g."
"9.4.595","Prepare Resource Reports","9.4.595 – Prepare Resource Reports.docx","To prepare weekly and monthly resource reports that summarize manpower, equipment, material, and subcontractor usage across the project.  Scope This SOP applies to Project Managers, Superintendents, and Branch Managers."
"9.4.605","Issue Purchase Orders","9.4.605 – Issue Purchase Orders.docx","To issue purchase orders (POs) for materials and equipment, ensuring accuracy, cost compliance, and delivery coordination.  Scope This SOP applies to Purchasing, Project Managers, and Accounting."
"9.4.610","Manage Vendor Prequalification","9.4.610 – Manage Vendor Prequalification.docx","To prequalify vendors and suppliers based on financial stability, safety record, quality performance, and capacity.  Scope This SOP applies to Purchasing, Project Managers, and Branch Managers."
"9.4.615","Manage Vendor Evaluations","9.4.615 – Manage Vendor Evaluations.docx","To evaluate vendor performance on each project, focusing on quality, timeliness, cost compliance, and communication.  Scope This SOP applies to Project Managers, Purchasing, and Branch Managers."
"9.4.620","Manage Expediting","9.4.620 – Manage Expediting.docx","To expedite vendor and supplier commitments to ensure timely delivery of critical materials and equipment.  Scope This SOP applies to Purchasing, Project Managers, and Vendors."
"9.4.625","Manage Delivery Tracking","9.4.625 – Manage Delivery Tracking.docx","To track vendor and supplier deliveries, ensuring that materials and equipment arrive on schedule and in good condition.  Scope This SOP applies to Purchasing, Project Managers, and Field Supervisors."
"9.4.630","Manage Material Receiving","9.4.630 – Manage Material Receiving.docx","To ensure materials and equipment received on-site are verified for accuracy, quality, and compliance with purchase orders.  Scope This SOP applies to Field Supervisors, Project Managers, and Purchasing."
"9.4.631","Release of Large Feeder Wire","9.4.631 – Release of Large Feeder Wire.docx","Standardizes the process for verifying, releasing, and tracking large feeder wire after procurement to ensure accuracy, proper sequencing, and timely delivery.  Scope Applies to all large feeder wire (1 AWG and larger) released from vendor storag..."
"9.4.635","Manage Material Inspection","9.4.635 – Manage Material Inspection.docx","To inspect materials and equipment for compliance with specifications, submittals, and quality requirements before installation.  Scope This SOP applies to Field Supervisors, Quality Inspectors, and Project Managers."
"9.4.640","Manage Storage and Logistics","9.4.640 – Manage Storage and Logistics.docx","To manage storage and logistics of materials and equipment to ensure availability, protection, and efficient handling on-site.  Scope This SOP applies to Project Managers, Field Supervisors, and Warehouse/Logistics Personnel."
